,short_name,version,message,opendap_url
586,M2TMNPTDT,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNPTDT.5.12.4/1980/MERRA2_100.tavgM_3d_tdt_Np.198001.nc4
587,M2TMNPTRB,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNPTRB.5.12.4/1980/MERRA2_100.tavgM_3d_trb_Np.198001.nc4
588,M2TMNPUDT,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNPUDT.5.12.4/1980/MERRA2_100.tavgM_3d_udt_Np.198001.nc4
589,M2TUNXADG,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNXADG.5.12.4/1980/MERRA2_100.tavgU_2d_adg_Nx.198001.nc4
590,M2TUNXAER,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNXAER.5.12.4/1980/MERRA2_100.tavgU_2d_aer_Nx.198001.nc4
591,M2TUNXCHM,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNXCHM.5.12.4/1980/MERRA2_100.tavgU_2d_chm_Nx.198001.nc4
592,M2TUNXCSP,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNXCSP.5.12.4/1980/MERRA2_100.tavgU_2d_csp_Nx.198001.nc4
593,M2TUNXFLX,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNXFLX.5.12.4/1980/MERRA2_100.tavgU_2d_flx_Nx.198001.nc4
594,M2TUNXGLC,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNXGLC.5.12.4/1980/MERRA2_100.tavgU_2d_glc_Nx.198001.nc4
595,M2TUNXINT,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNXINT.5.12.4/1980/MERRA2_100.tavgU_2d_int_Nx.198001.nc4
596,M2TUNXLFO,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNXLFO.5.12.4/1980/MERRA2_100.tavgU_2d_lfo_Nx.198001.nc4
597,M2TUNXLND,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNXLND.5.12.4/1980/MERRA2_100.tavgU_2d_lnd_Nx.198001.nc4
598,M2TUNXOCN,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNXOCN.5.12.4/1980/MERRA2_100.tavgU_2d_ocn_Nx.198001.nc4
599,M2TUNXRAD,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNXRAD.5.12.4/1980/MERRA2_100.tavgU_2d_rad_Nx.198001.nc4
600,M2TUNXSLV,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNXSLV.5.12.4/1980/MERRA2_100.tavgU_2d_slv_Nx.198001.nc4
601,M2TUNPCLD,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2_DIURNAL/M2TUNPCLD.5.12.4/1980/MERRA2_100.tavgU_3d_cld_Np.198001.nc4
